sentence_id,text_sentence,president,cluster,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18
Lee_0018,풍부한 사업환경과 천연적인 자연요건은 영동을 첨단국방산업 선봉에 자리매김시킬 것으로 확신한,Lee,6,5.296756,7.7301497,3.1558867,4.036691,4.799182,4.8535414,4.4240813,3.1479502,3.9216814,5.189339,3.5051646,4.4047894,3.1288009,4.1448855,3.7911267,2.670067,4.708332,3.6611753
Lee_0041,대구선 이설지역에 생활공원 조성 및 연결도로 확보로 주민생활 개선,Lee,6,3.5474317,4.394662,4.1262274,2.223373,6.097801,2.3819296,4.142632,2.7657351,3.4304385,4.9034743,3.4765484,4.8359823,2.7506757,4.1757307,3.3345618,3.4022548,3.961391,3.9237528
Lee_0046,"아울러‘식품, 생물, 생명산업’을 적극 육성하여, 일자리 만들기 및 농업 살리기와 연계하는 발전전략을 추진하겠습니",Lee,6,5.590345,6.9173436,3.2564838,3.0272996,3.777775,4.4539213,4.3262925,3.7245126,3.8831055,5.618499,4.0054626,4.652132,2.7755637,4.9989443,4.200082,3.7025065,4.7806168,4.2605124
Lee_0054,연산동 고분군 및 배산 공원화 사업추진,Lee,6,3.0766294,5.6937847,4.0224314,3.1211748,5.511943,4.103102,4.0386543,2.8449097,3.4083643,5.042406,2.9943724,4.2682548,2.9238925,3.7644215,3.484168,2.544714,4.2227936,3.4206157
Lee_0071,"휴양림 등의 휴식공간 조성, 주민편의 증대",Lee,6,2.451132,6.849462,5.1208906,2.8560395,6.2803288,3.4090374,5.2678137,3.4141073,4.0996976,6.1429267,3.6737733,5.26898,2.8350682,4.693448,4.1476684,3.6985185,4.7728834,4.3753943
Lee_0074,"자연과 인간, 문화가 함께하는‘친환경 녹색문화지구’로서 주거환경개선과 재정비 사업이 이루어지도록 노력하고, 인근 도심의 문화쉼터로 조성될 수 있도록“자연생 태체험학습장”을 건립하도록 하겠습니",Lee,6,3.5719604,5.856038,4.8333926,2.6074288,5.055953,3.0249064,4.5320807,3.202032,3.8974144,5.309514,3.6596758,5.142243,2.5940952,4.7656097,3.7651334,4.085789,4.3366814,4.6167154
Lee_0080,"서울시내 최대 수목원으로 차별화, 구로의 새로운 명소로 조성",Lee,6,4.7625556,6.5729628,3.7585404,2.6080508,6.7480497,3.194684,5.1779613,3.4464731,3.918129,5.1686835,3.5772927,4.978673,2.90174,4.2450075,3.5241776,2.915744,4.517988,3.6808338
Lee_0099,"생태농업체험마을 조성으로 도농교류활성화 및 농외소득 창출 사천의 백년희망, 매력적인 교육도시 사천을 만들겠습니",Lee,6,2.2630243,7.4564033,5.5931334,3.4895892,7.359091,4.57375,5.4977074,3.4652896,4.4613595,6.498255,3.9155483,5.871872,3.3401003,4.889364,4.415007,3.791977,5.2850237,4.743479
Lee_0110,"또한 여의도와 신길동을 잇는 문화인도교를 이용하여 여의도 공원을 영등포의 중심공원으로 활성화하기 위해, 총사업비 억 원 중 년 현재 억 원을 확보 하여 추진 중입니",Lee,6,4.2656875,5.711666,4.030928,2.6822648,4.317477,3.1524873,4.7576323,4.041928,3.9824507,5.804816,3.9041104,4.8049555,2.4897897,4.979169,4.1640396,4.0247173,4.765497,4.3795953
Lee_0121,"농업과 축산을 연계한 ,ha 규모의 친환경농업단지 조성",Lee,6,5.350963,6.936282,3.0859365,2.4577825,5.094075,3.6806617,4.827922,3.699998,3.8224666,5.793644,4.049955,4.837694,2.7637491,4.924011,4.1040115,3.4988573,4.748187,4.009723
Lee_0130,굴뚝 없는 첨단 친환경 산업단지로 조성,Lee,6,6.7479987,8.619848,2.5054471,1.6999569,5.0391054,4.932024,4.894454,3.9844327,3.6410196,6.250214,4.287041,4.891473,2.8032918,5.4850345,4.452105,3.483564,4.994233,3.995964
Lee_0142,원도심권 활성화를 위한 사업으로 해양공원 및 친수공간을 확대하고 남산공원 등 도심공원을 재조성하고 서시장등 재래시장 환경개선을 지원함으로써 국내외 방문객들이 언제든지 방문하여도 여수시가 깔끔하고 아름답고 환경 친화적이라는 인상을 갖게 함으로써 재방문과 소비를 촉진하는 것이 필요함.,Lee,6,4.1624036,6.200084,3.7974825,2.5413063,6.522973,2.9573047,5.052785,3.3810906,3.9104562,5.5531006,3.8888128,5.14752,2.88515,4.5561385,3.8105693,3.4292636,4.5816846,4.048742
Lee_0143,",억원으로 추정되는 사업비 확보를 위해 금년부터 울산시와 사업비 확보계획 및 공원조성계획을 본격적으로 추진",Lee,6,4.881415,4.9718647,3.3483093,2.0900035,6.4595127,3.1821773,4.438856,3.4882393,3.2846386,4.863257,3.1119733,4.2579336,2.795104,3.8712778,3.2973142,2.3013937,4.220454,2.9645753
Lee_0151,[친주민 친환경공간 조성] 하천수질을 개선하고 자연재료를 이용하여 생태계를 복원 시켜 서울의 청계천 양재천과 같은 친주민 친환경 공간으로 개발 제대 선거구명 여상규,Lee,6,1.4398371,5.15717,3.64351,2.1751902,6.1973085,3.2810843,4.5794544,3.1791515,3.4698691,5.040064,3.18142,4.4601054,2.535715,3.6525664,3.4582534,2.705415,4.191358,3.355464
Lee_0159,"영광에는 만평 규모의 산업단지를 조성해 자동차 부품, IT, 바이오, 식품, 신재 생에너지 등 친환경 산업을 유치하겠습니",Lee,6,4.986282,7.8080688,2.5298955,2.3516705,5.147129,4.3666325,4.377222,2.9682188,3.245292,4.7826347,3.0878816,3.9529648,2.702939,3.8491545,3.3605905,2.174333,4.1398025,2.919518
Lee_0168,"국회차원에서 친환경농산물 생산과 판로개척을 위한 지원예산을 확보하고, 농협과의 협의를 통해 유덕동의 친환경 농산물에 대한 판로개척에 적극 나서 도농복합지역의 실질소득 증가를 위한 다양한 법적 지원방안을 만들어나가겠습니",Lee,6,3.0183039,5.8495193,3.6243925,2.8435116,3.9490373,4.470423,3.9185085,3.377996,3.4163475,5.3595223,3.0778031,3.7557325,2.666349,4.017542,3.8763828,2.720755,4.3309584,3.3145332
Lee_0173,지역별 공원확충 = 갈산공원의 조속한 완공으로 부족한 공원확보에 노력하여 시민들이 휴식하고 즐길 수 있는 공간을 만들겠습니,Lee,6,2.949889,6.628664,4.703884,2.8013775,5.989238,3.07292,5.089242,3.2941313,3.9949887,5.8068905,3.6788101,5.139391,2.7637239,4.629619,3.975133,3.7079167,4.610191,4.3216295
Lee_0178,친환경 농산물의 안정적인 유통기반 마련,Lee,6,6.0089474,7.196822,3.081597,2.393359,4.226684,3.6884198,4.645443,3.778575,3.5953877,5.4886975,3.5602992,4.1336393,2.5810065,4.697854,3.95293,3.0063334,4.5355215,3.4720368
Lee_0179,여천천의 명품 생태하천 조성과 여가편의시설 확충,Lee,6,4.086636,5.305944,3.75389,2.7378535,4.609125,2.801055,4.45982,3.5171957,3.6744883,5.546838,3.750587,4.7672396,2.476687,4.73537,3.9355998,3.810373,4.532305,4.2762012
Lee_0182,봉제산 대형공원화 단계적 추진,Lee,6,4.4993386,7.477241,3.697485,2.9787345,5.960516,4.1665187,5.052808,3.545158,3.9585364,6.019893,3.9064252,5.059494,3.0106626,4.774431,4.174414,3.3349853,4.934379,4.093977
Lee_0204,이에 보은의 관광자원과 바이오산업을 연계시켜 지역경제 활성화를 극대화할 수 있는 방안이 필요하,Lee,6,1.8379521,6.2230754,3.7206614,2.2658863,5.722081,3.588019,4.5539827,2.9491043,3.3916035,4.86664,2.925062,4.220124,2.4975262,3.5850863,3.3328905,2.5116308,4.044213,3.18216
Lee_0211,"국보급 문화재인 총무당도 나머지 건축물이 있는 육사 부지로 이전하여 살리고, 삼선공원은 서울성곽 공원과 연계하여 이번 배치하면 약 , 여평의 공원이 생기고, 삼선 ,, 구역 주택 재개발 사업 역시 층수 규제가 덜한 지역으로 조정되면 수익성이 올라가 이전 보다",Lee,6,2.343782,6.084732,3.7083032,2.1372485,6.1410303,3.581944,4.5522213,2.9122763,3.4292753,5.034849,3.1697009,4.5752096,2.623467,3.8021016,3.376617,2.692855,4.118996,3.413282
Lee_0213,"새만금 토지 이용계획이 농지 %에서 산업용지 %(유보지포함)로 확대되고 새만금 완공시기를 년으로 년 앞당겨 동진유역과 만경유역을 동시 개발키로 하면서 신재생에너지 단지, 농식품클러스터의 대규모 단지 조성, 새만금과 연결하는 철도 및 고속도로가 건설 될 것입니",Lee,6,4.081481,8.155145,2.1579475,0.74726903,4.6599264,4.4099507,4.5030556,3.3043208,3.1094344,5.4778256,3.5881786,4.1508517,2.3008554,4.501941,3.8125172,2.830798,4.113687,3.207447
Lee_0215,"영덕신재생에너지와 울진 해양에너지 집적단지 조성을 비롯한 환동해안 에너지 벨트에 대비한 청정에너지 관련 벤처산업 육성 기반조성,기업유치",Lee,6,4.262234,7.1464634,2.5409467,1.5963631,5.209203,4.6033325,4.3300867,3.28871,3.2457461,5.294235,3.524406,4.262702,2.6439,4.293035,3.7474995,2.6644113,4.2821007,3.237946
Lee_0219,섬진강의 수려한 자연경관과 주변의 농산촌마을을 연계한 아름다운 마을가꾸기 사업 전개,Lee,6,4.482166,7.3036284,4.172746,3.065595,5.910199,4.295068,4.8347387,3.3104548,4.0311956,5.954968,3.9635262,5.2332144,3.1445556,4.8633637,4.1367707,3.562703,4.842992,4.3415985
Lee_0224,"경의선 철도부지에 조성될 환경 친화적인 공원과 홍대 앞까지 문화 벨트를 조성, 마포를 문화와 예술의 거리로 재창조",Lee,6,2.2930896,7.2834024,4.2542477,2.4651873,6.815015,4.2250447,5.2579794,3.4142456,4.1200013,6.3796797,4.206976,5.620291,3.00989,4.915391,4.3604946,3.865175,4.967274,4.5377274
Lee_0226,금강 섬진강의 수려한 자연경관과 주변의 농산촌마을을 연계한 아름다운 마을가꾸기 사업 전개,Lee,6,4.081974,7.6057115,3.76373,2.6364708,6.17408,4.2025843,5.036401,3.3065987,3.9020789,5.7710953,3.8025918,5.059444,2.9732766,4.588105,3.9619794,3.2025592,4.715368,3.9539156
Lee_0230,"바이오산업, 실크산업 클러스트화로 산업 경쟁력 강화",Lee,6,4.3388324,8.554791,2.2270935,1.3810439,5.5370865,5.0052886,4.7125463,3.2375937,3.4009504,5.0940433,3.4969575,4.3062963,2.6462317,4.1331325,3.6028376,2.4347494,4.2594633,3.0700436
Lee_0242,"작년 말까지 총 억원의 사업비를 들여 성공적으로 완료한 바이오타운 조성사업에 이어 제단계 지역전략산업진흥사업(~)을 추진하고, 구축된 장비를 중심으로 대표적 특화분야를 선정하여 R&D 기능을 강화하겠습니",Lee,6,1.7834957,7.4172716,3.5345361,2.0945597,6.3729954,5.036337,5.2091923,3.735506,4.0394783,6.190447,4.063408,5.2407336,2.84753,4.6175537,4.3304214,3.3725379,4.9723682,4.0311775
Lee_0255,"최첨단 항공우주산업과 생태적인 관광산업, 친환경농업으로 지속가능한 사천",Lee,6,5.343366,6.4796796,3.4631727,2.7684784,5.848979,3.0229123,4.492523,2.9361382,3.3600655,4.9830875,3.164278,4.2299404,2.8732624,4.0487456,3.4063325,2.53037,4.174401,3.2470098
Lee_0260,"홍성 예산에 친환경농업지구를 확대하고, 고칼슘 친환경 기능성 쌀 생산을 지원 하여 홍성 예산에서 생산되는 농축산물은 친환경상품으로 인식, 고소득상품이 되도록 지원하겠습니",Lee,6,5.821866,7.5305786,2.1057272,1.5767869,4.029744,3.7721694,4.4843893,3.5379753,3.3199313,5.1566873,3.6143208,4.007922,2.348825,4.523432,3.7100496,2.8693664,4.2201614,3.237122
Lee_0265,쌀소득직불제를 현실화하고 농업인 재해보험 지원을 통한 농업인 경영안정을 지원해 나가겠습니 전,Lee,6,5.547547,7.612642,2.615485,2.669901,4.068535,3.8198824,4.5466805,3.3369284,3.6403558,4.9684563,3.5561895,4.2763557,2.4784188,4.3523135,3.6162443,2.977533,4.3406506,3.5730696
Lee_0268,"셋째, 바이오산업을 유치하고 키우기 위한 지원제도를 확대하고, 의료/관광특구 조성사업을 추진하겠습니",Lee,6,4.611686,6.9120226,2.4402778,2.3661427,3.9454212,4.050783,4.0428495,3.0855932,3.2736244,4.6144648,3.208169,3.7740822,2.4631047,3.9292698,3.426969,2.6074846,4.020968,3.168974
Lee_0273,여천천 주변에 편의시설 및 문화시설 등 설치로 주민이 찾고 즐길 수 있는 명품 생태하천으로 조성,Lee,6,5.3020415,7.7422457,3.6558132,2.5045652,6.3740997,3.5597758,5.0545025,3.2026997,3.818764,5.6844807,3.914035,5.1858525,2.9586983,4.8237343,3.8841863,3.3836231,4.6233873,4.1115837
Lee_0279,"복합문화관, 공원 등 통해 가산디지털단지부터 이어지는 문화벨트 조성",Lee,6,5.142499,5.073678,3.5214963,2.128876,5.280136,2.6308713,3.8387673,2.7464771,3.1687868,4.4462166,3.247303,4.369963,2.62718,4.1126475,3.1072526,3.0775428,3.7183135,3.6501036
Lee_0280,"낙성대공원 성역화, 문화공원 조성 추진 / 생활체육 지원 강화",Lee,6,4.9037256,6.797639,4.4623246,2.1924455,6.394743,3.2957783,5.081003,3.5721192,3.9146268,5.7284684,3.7709994,5.1107097,2.918539,4.869007,3.9127822,3.553409,4.57938,4.1299605
Lee_0284,"친환경지역 특성 활용, 건강 기능성 식품 연구및 생산단지 유치",Lee,6,3.9857638,8.21578,3.3955958,1.9590038,5.4147406,4.487448,4.9594517,3.4535394,3.7425067,5.9335504,3.8691971,4.8546476,2.712545,4.83413,4.144142,3.3272455,4.647497,3.9296966
Lee_0285,전남 친환경농산물 생산량은 매년 % 증가 추세,Lee,6,4.714673,7.5565996,2.0171847,1.4448687,4.0457845,4.4242916,3.9304395,2.9507122,2.8775506,4.827688,3.1247382,3.6208062,2.3775132,3.9960494,3.4302206,2.3355932,3.8568025,2.8293357
Lee_0288,"하이닉스반도체 청주공장 추가증설을 지자체와 적극 협력 추진하고, 생태산업단지 구축사업을 병행해 친환경 첨단산업단지로 조성",Lee,6,4.8695865,6.337178,3.1703568,2.972812,5.2640495,4.569135,4.0934696,3.2646194,3.545932,5.3406296,3.7317333,4.654014,3.0170846,4.5262947,3.8987713,3.2026007,4.6177053,3.964244
Lee_0290,"이는 비단 바이오산업 뿐 아니라 지역 관광산업과 다른 모든 산업의 부흥을 기대할 수 있는 사업으로, 보은 지역의 질적인 변화와 양적인 변화 모두를 충족시킬 수 있는 일이라 확신한",Lee,6,3.034065,6.020345,3.4677086,1.9846252,5.899316,3.670232,4.374715,2.987473,3.3051078,4.8592734,3.2428699,4.506597,2.566691,3.9572816,3.3630986,2.822746,4.0751476,3.4514217
Lee_0291,친환경 쌀 재배 육성 지원으로 농가소득을 높이겠습니,Lee,6,4.2077413,7.364794,2.5256793,1.5471709,4.993516,3.3928568,4.570939,3.0437489,3.2111702,4.798647,3.2493606,4.0873137,2.3142157,4.0104136,3.3400197,2.6117804,3.937888,3.0949945
Lee_0299,공원내 임야 매입비용 억원 신림청 예산 확보(년 억원 배정),Lee,6,5.495766,6.1420245,3.3473523,2.2303553,5.719269,3.0501409,4.769288,3.5822077,3.5839965,5.450161,3.646023,4.605269,2.7418947,4.5653887,3.745192,3.0597193,4.490694,3.5891638
Lee_0302,"농업과 행정, 기업을 결합하거나 농가, 대학, 농업기술원, 신암가축약품단지와 제약단지를 결합하는 축산바이오 산업의 특화전략산업을 육성하도록 하겠습니",Lee,6,5.8763766,7.858451,3.0175953,2.673897,5.166712,5.4902253,4.116099,3.158626,3.5720417,5.373324,3.8396416,4.7783675,3.1379228,4.7895694,3.946136,3.1954534,4.622561,4.017362
Lee_0306,친환경 농산물의 학교급식 식재료 이용을 전국으로 확대,Lee,6,5.9670224,8.260003,4.729998,1.9257569,6.1473455,3.872172,5.042572,3.3755636,3.6660602,5.5527544,3.274588,4.7831135,2.8962398,4.8584704,3.7554808,3.071041,4.4494224,3.753581
Lee_0307,"북정역사공원(읍성, 객사 등)은 사업비 ,억원 중 억원을 재개발조합에 기부채납 형식으로 부담하도록 하고 있어서 재개발사업 추진에 애로를 겪고 있음.",Lee,6,3.957492,6.734156,3.062363,2.0626729,5.706459,3.0924702,4.751911,3.0469031,3.3635967,4.9067726,3.149044,4.2188296,2.5183964,3.8499732,3.3263426,2.4655056,4.089829,3.0599189
Lee_0314,"대흥로, 마포대로 주변의 이면도로를 이용하여 서울숲길과 한강변을 잇는 보행자도로, 자전거도로를 만들어 마포에 철도부지공원과 한강변 수변공원을 잇는 그린네트워크 구축",Lee,6,2.9532158,5.84105,3.8084416,2.279852,5.712449,2.9621556,4.4290156,2.794705,3.442812,4.859439,3.1880133,4.514063,2.5835795,3.8644352,3.2985196,2.9459333,3.943358,3.5843482
Lee_0320,안양예술공원(유원지)에 주민과 함께 할 수 있는 축제개최를 통한 주민의 삶의질 향상,Lee,6,2.0487804,7.375316,4.8123307,2.9516551,6.970456,4.1659546,5.432436,3.4316216,4.317343,6.579444,4.1701355,5.7156925,3.1346545,4.943205,4.4795513,3.934429,5.112588,4.680271
Lee_0331,"모두가 자랑스러워하고 찾고 싶은 세계적인 공원조성을 조성하여 용산구민과 서울 시민, 대한민국 국민이 부러워하는 공원개장",Lee,6,3.9291198,7.777255,4.5304203,2.7305975,7.8220778,3.8548179,5.9343348,3.7799182,4.5139465,6.489502,4.406861,5.992065,3.2592025,5.1697183,4.4016585,3.8869553,5.276967,4.64991
Lee_0333,메디컬 콤플렉스는 의료+농업+바이오산업 등이 연관된 고부가가치 창출의 복합의료 산업단지,Lee,6,4.3717833,6.5441175,2.772644,2.8030286,4.116787,4.839832,3.1924388,2.2900977,2.8738577,4.210672,2.74083,3.5207038,2.8086414,3.4756784,3.1078072,2.0727532,3.7119966,2.9199758
Lee_0338,"산업단지는 대학, 유통단지, 주거단지, 첨단연구소, 기술 집약형 미래 산업과 녹지 공간이 어우러진 종합산업단지로 만들어 나가겠습니",Lee,6,3.5635147,7.5383997,4.103903,2.9263456,6.5742693,4.7924643,5.099207,3.4518056,4.127688,5.7907677,3.889506,5.413734,3.0799446,4.6602206,4.045132,3.4187427,4.9483485,4.29069
Lee_0339,"“HOPE 프로젝트”라는 장기적인 발전전략을 토대로 향후 양산을 첨단경제도시 (High Tech), 뉴문화복지도시(Oriental Tradition), 선진교육도시(People), 친환경 생태도시(Environment)로 건설,“만 자족도시, 양산”으로 발돋움",Lee,6,4.475975,7.005048,3.6408012,2.5905843,6.3352556,3.4757783,4.716482,2.9080243,3.5390306,4.9503465,3.2966425,4.6126547,2.8685975,4.0572042,3.403523,2.6984847,4.251573,3.4878206
Lee_0350,왕숙천변 둔치 주차장을 농수산물 시장과 연계한 가족공원으로 개발하여 북부권에 위치한 주민들의 휴식공원을 제공함과 아울러 농수산물시장 활성화를 위해 남양주를 연결하는 자연형 보행전용 교량을 설치하겠습니,Lee,6,3.2268448,5.497994,3.8841748,2.3362973,5.400264,3.2853208,4.3507104,3.1853595,3.4341242,5.267307,3.28184,4.396941,2.6430936,4.1484556,3.6194024,3.0130093,4.2175565,3.5869222
Lee_0370,"함평군 월야면과 광주 광산구 삼거동 일원에 광주 전남 공동 산업단지를 만들어 자동차, 조선, 항공기 등 첨단 부품소재산업과 의료 제약 등 생물산업, 신재생에너지산업 등을 유치하겠습니",Lee,6,2.2209074,6.8311048,3.1005964,2.2849681,5.185912,4.230507,4.2770686,2.8256135,3.2709472,5.0326276,3.08878,4.089783,2.5667367,3.7183266,3.5044532,2.4818897,4.0889153,3.1715927
